fold,date,daily_return
1,2020-01-02,0.0
1,2020-01-03,0.0
1,2020-01-06,0.0
1,2020-01-07,0.0
1,2020-01-08,0.0
1,2020-01-09,0.0
1,2020-01-10,0.0
1,2020-01-13,0.0
1,2020-01-14,0.0
1,2020-01-15,0.0
1,2020-01-16,0.0
1,2020-01-17,0.0
1,2020-01-20,0.0
1,2020-01-21,0.0
1,2020-01-22,0.0
1,2020-01-23,0.0
1,2020-01-28,0.0
1,2020-01-29,0.0
1,2020-01-30,0.0
1,2020-01-31,0.0
1,2020-02-03,0.013717742686500056
1,2020-02-04,0.005477471455993976
1,2020-02-05,-0.008986928714110665
1,2020-02-06,0.014536017337027474
1,2020-02-07,-0.005655404301764144
1,2020-02-10,-0.0009205615376590703
1,2020-02-11,0.0013110038567762938
1,2020-02-12,0.007711776021414485
1,2020-02-13,0.004123404255595764
1,2020-02-14,0.004506474962517659
1,2020-02-17,-0.007717877804867435
1,2020-02-18,-0.011038971935122266
1,2020-02-19,0.0018736747955341304
1,2020-02-20,-0.005942406205846851
1,2020-02-21,-0.006588044627060863
1,2020-02-24,-0.016331363270716714
1,2020-02-25,0.00551899981128301
1,2020-02-26,-0.0060449386759030554
1,2020-02-27,-0.010150423902546835
1,2020-02-28,-0.018469925228803752
1,2020-03-02,0.0029279538993611798
1,2020-03-03,0.01088841569827359
1,2020-03-04,0.008707764191931089
1,2020-03-05,0.0022668049348060215
1,2020-03-06,-0.01392372328317315
1,2020-03-09,-0.0139602000661877
1,2020-03-10,0.003223814813321235
1,2020-03-11,-0.00728039895341992
1,2020-03-12,-0.010138533631241953
1,2020-03-13,-0.01168741041185728
1,2020-03-16,-0.0036289105160526303
1,2020-03-17,-0.0014599490233556667
1,2020-03-18,-0.003662104911873687
1,2020-03-19,0.00023176448846840003
1,2020-03-20,0.0
1,2020-03-23,0.0
1,2020-03-24,0.0
1,2020-03-25,0.0
1,2020-03-26,0.0
1,2020-03-27,0.0
1,2020-03-30,0.0
1,2020-03-31,0.0
1,2020-04-01,-0.011802200569894228
1,2020-04-02,0.008492254251360354
1,2020-04-03,-0.007072053642900644
1,2020-04-06,0.02029872017089529
1,2020-04-07,0.010677855711155093
1,2020-04-08,-0.0004383558189978709
1,2020-04-09,0.006099674751565365
1,2020-04-10,-0.0020584836573170895
1,2020-04-13,-0.015338135096612637
1,2020-04-14,0.010919151613111744
1,2020-04-16,0.0078203683151441
1,2020-04-17,0.01986734219601982
1,2020-04-20,-0.004042351208916162
1,2020-04-21,0.0008436409223282482
1,2020-04-22,0.0078091379967379915
1,2020-04-23,0.004963136233957499
1,2020-04-24,-0.00827661703910565
1,2020-04-27,0.007677442700633641
1,2020-04-28,-0.00024185921198061067
1,2020-04-29,0.0034884697126482678
1,2020-05-04,-0.012275826967637515
1,2020-05-06,0.016603925098868988
1,2020-05-07,0.005479517961964886
1,2020-05-08,0.005020176829777068
1,2020-05-11,0.002335150159658239
1,2020-05-12,0.0009852093955007302
1,2020-05-13,-0.0006746123010418215
1,2020-05-14,0.002748722545306892
1,2020-05-15,-0.0036121067974216325
1,2020-05-18,0.005223922875936093
1,2020-05-19,0.006080532440740027
1,2020-05-20,0.00946147420272081
1,2020-05-21,0.005398342908964571
1,2020-05-22,-0.0028431031860889355
1,2020-05-25,0.022658941223383078
1,2020-05-26,0.012233445511365959
1,2020-05-27,-0.01143469533630126
1,2020-05-28,0.0020269729498918476
1,2020-05-29,-0.0055120828696805235
1,2020-06-01,0.012390863804480734
1,2020-06-02,0.00024507259431194583
1,2020-06-03,0.0064541223729510655
1,2020-06-04,0.0016922303444555364
1,2020-06-05,0.005348289982732846
1,2020-06-08,0.002428174584163667
1,2020-06-09,-0.0019107327220293513
1,2020-06-10,0.008473699702274962
1,2020-06-11,-0.0019218698920562272
1,2020-06-12,-0.006475530856028033
1,2020-06-15,-0.024284214932669745
1,2020-06-16,0.021566073190170565
1,2020-06-17,0.00638335508606902
1,2020-06-18,-0.005457316324290584
1,2020-06-19,0.002397904171484999
1,2020-06-22,0.005960048079966418
1,2020-06-23,0.0036805618694208952
1,2020-06-24,0.004662039391693851
1,2020-06-25,-0.009011054246929828
1,2020-06-26,0.0018040608682203807
1,2020-06-29,-0.0053235810751901536
1,2020-06-30,0.003751761968562528
1,2020-07-01,-0.0005693832905273588
1,2020-07-02,0.013376496743543465
1,2020-07-03,-0.00044147370983471657
1,2020-07-06,0.021826919099160458
1,2020-07-07,-0.01648909463009507
1,2020-07-08,0.0024937702045961796
1,2020-07-09,0.009373863691731099
1,2020-07-10,0.003329157515236769
